id,eng,chn
886,coincide,vi.相符合；相巧合
887,coincidence,"n. 巧合,同时发生"
888,cold,"adj.冷的冷淡的漠然的客观的n.冷感冒低温adv.唐突地无回旋余
地地即兴地"
889,collaboration,"n. 合作,通敌"
890,collapse,vi.倒坍崩溃瓦解折叠vt.倒塌缩减n.崩溃倒塌暴跌
891,collar,n.衣领项圈vt.抓住为...戴上项圈
892,colleague,n.同事同僚
893,collect,vt.收集推论接走vi.收款聚集积累adj. &adv.对方付费(的)
894,collection,n.搜集收集收藏品小组集合
895,collective,adj.集体的共同的集合性的n.集体
896,college,n.学院学校社团枢机主教团大学
897,collide,vi.碰撞；冲突，抵触
898,collision,n.碰撞冲突
899,colonel,n.陆军上校中校
900,colonial,a.殖民地的，殖民的
901,colony,n.侨民殖民地侨居地聚居(地)
902,color,n.颜色彩色颜料气色风格vt.把...涂颜色粉饰vi.脸红
903,column,n.柱支柱圆柱柱形物专栏[计算机]列
904,comb,n.梳子梳状物鸡冠蜂巢vt.梳理清理搜查用梳子vi.搜寻
905,combat,vt.跟…战斗 vi.格斗
906,combination,n.结合联合化合联合体
907,combine,"vt.使结合兼有融合联结收割混合谷物vi.结合联合n.集团联合收
割机"
908,come,vi.来来到达到出现发生进入vt.接近扮演
909,comedy,n.喜剧；喜剧场面
910,comet,n. 慧星
911,comfort,n.舒适安慰安慰者vt.安慰
912,comfortable,adj.舒适的安慰的充裕的
913,command,"vt.命令指挥控制支配n.命令指挥控制[计算机]DOS命令：引用辅
助命令处理器"
914,commander,n.司令官指挥员
915,commemorate,vt. 纪念
916,commence,vt.开始 vi.获得学位
917,commend,vt.称赞，表扬；推荐
918,comment,n.评论意见注释闲话v.注释评论
919,commentary,"n. 注释,评论,批评"
920,commerce,n.商业贸易社交
921,commercial,adj.商业的商品化的n.商业广告
922,commission,n.委任(状)任官令委员会佣金犯罪行为vt.委任委托使服役
923,commit,vt.犯(错误)干(坏事)委托(托付)作...事承诺[计算机]委托
924,commitment,"n. 委托,承担义务,赞助"
925,committee,n.委员会全体委员
926,commodity,n.日用品，商品，物品
927,common,adj.普通的共同的平常的n.平民普通公地公园
928,commonly,adv.普通地一般地通常地
929,commonplace,a.平凡的 n.平常话
930,commonwealth,n.共和国；联邦
931,communicate,vi.通讯传达传播vi.交流沟通联通
932,communication,n.通讯传达交通信息[计算机]通信
933,communism,n.共产主义
934,communist,n.共产党员共产主义者adj.共产主义的
935,community,n.社区团体社会公社群落(生)
936,commute,"vt. 交换,兑换, 经常来往"
937,compact,a.紧密的 vt.使紧凑
938,companion,"n.同伴同事共事者伴侣成对物品之一(船的)甲板间扶梯(或扶梯
的顶篷)vt. &vi.陪伴"
939,company,n.公司商号同伴客人一群连队vt.陪伴vi.联合
940,comparable,a.可比较的；类似的
941,comparative,adj.比较的相对的n.对手
942,compare,vt. &vi.比较对照比作比喻n.比较对照
943,comparison,n.比较对照比似
944,compartment,"n. 间隔,个别室,车厢"
945,compass,n.罗盘指南针圆规vt.图谋包围达成
946,compatible,a.一致的；兼容制的
947,compel,vt.强迫迫使屈服
948,compensate,vt.&vi.补偿，赔偿
949,compete,vi.比赛竞争对抗
950,competence,"n. 胜任,资格,能力"
951,competent,adj.有能力的胜任的足够的应该做的
952,competition,n.竞争比赛
953,competitive,a.竞争的，比赛的
954,compile,vt.编辑，编制，搜集
955,complain,vi.抱怨拆苦悲叹控告控诉
956,complaint,n.抱怨怨言控告
957,complement,vt.补充 n.补足(物)
958,complete,adj.完整的完成的彻底的vt.完成使圆满使完美
959,completely,adv.十分完全地全然
960,complex,adj.结合的复杂的n.复合体
961,complicate,vt.使复杂使陷入使错综使起纠纷
962,complicated,adj.复杂的难懂的
963,complication,n.复杂，混乱；并发症
964,compliment,n.问候 vt.赞美，祝贺
965,comply,vi.应允，遵照，照做
966,component,n.组成部分分组件元件成份adj.组成的构成的
967,compose,vt.组成构成创作写作作曲使镇静vi.创作
968,composite,a.合成的 n.合成物
969,composition,n.构成作品写作作文著作组织合成物成份
970,compound,"n.化合物混合物复合词adj.复(混)合的合成的vt.混合调合妥协
vi.混合妥协"
971,comprehension,n.理解理解力领悟
972,comprehensive,adj.广泛的理解的综合的
973,compress,vt.压紧压缩
974,comprise,vt.包含包括构成
975,compromise,n.妥协让步和解折衷折衷案vt.妥协处理危害vi.妥协让步
976,compulsory,a.强迫的，义务的
977,compute,vt.计算估计估算
978,computer,n.计算机电脑
979,comrade,n.同志亲密的同伴
980,conceal,vt.把...隐藏起来掩盖
981,concede,"vt. 承认,退让 vi. 让步"
982,conceive,vt.设想，以为；怀孕
983,concentrate,vt. &vi.集中专心聚集浓缩n.浓缩精选
984,concentration,n.集中专心专注浓缩 浓度
985,concept,n.概念观念设想
986,conception,n.概念，观念，想法
987,concern,n.关心(人或事)忧虑挂念关系公司企业vt.涉及影响关心
988,concerning,prep.关于
989,concert,n.音乐会演奏会一致和谐vt.制定计划通过协商达成一致vi.合作
990,concession,n.让步，迁就
991,concise,"a. 简洁的,简明的"
992,conclude,vt.推断出使结束缔结断定得出结论vi.结束作出决定
993,conclusion,n.结论推论结尾
994,concrete,n.水泥混凝土具体物adj.具体的实在的水泥的vt. &vi.凝结结合
995,condemn,vt.谴责指责判刑官方宣称(某事物)有缺陷或不宜使用
996,condense,vt.压缩使缩短浓缩摘要
997,condition,n.状况状态环境条件v.以...为条件决定支配训练
998,conduct,n.举止行为品行指导vi.引导指挥管理vt.导电传热
999,conductor,n.售票员(乐队)指挥导体
1000,confer,"vt. 赠予,协议 vi. 协商"
1001,conference,n.会议讨论会
1002,confess,vt.供认承认坦白告白忏悔
1003,confidence,n.信任信赖信心把握adj.骗得信任的
1004,confident,adj.确信的自信的
1005,confidential,a.秘密的；亲信的
1006,configuration,"n. 结构,配置,形态"
1007,confine,vt.限制禁闭n.边界约束范围限制
1008,confirm,vt.证实肯定批准确定
1009,conflict,n.争论冲突斗争战斗矛盾vi.争执撞斗冲突
1010,conform,vt.使遵守 vi.一致
1011,confront,vt.使面对；使对证
1012,confuse,vt.使混乱混淆狼狈困惑
1013,confusion,n.混乱；骚乱；混淆
1014,congratulate,vt.祝贺向...道喜
1015,congratulation,n.祝贺祝贺词
1016,congress,n.大会国会议会集会
1017,conjunction,n.接合连接连接词关联(事件等的)同时发生
1018,connect,vt.连接连结联通联系使有联系
1019,connection,n.连接联系关系亲戚连贯性
1020,conquer,vt.征服战胜克服破除vi.得胜
1021,conquest,n.攻取征服克服
1022,conscience,n.良心道德心责任心顾忌
1023,conscientious,"a. 本着良心的,负责的"
1024,conscious,adj.意识到的神志清醒的意识到的自觉的有意的n.意识
1025,consciousness,n.意识觉悟知觉自觉
1026,consecutive,"a.连续,联贯的,始的"
1027,consensus,n. 一致
1028,consent,n.同意赞成许可vi.同意承诺
1029,consequence,n.结果后果
1030,consequent,a.作为结果的；必然的
1031,consequently,adv.因此因而所以
1032,conservation,n.保存保护守恒防止流失守恒保护自然资源
1033,conservative,adj.保守的守旧的n.保守的人保守派(党)
1034,conserve,"vt. 保存,保全 n. 蜜饯,果酱"
1035,consider,vt.认为考虑思考关心
1036,considerable,adj.相当大的重要的可观的
1037,considerate,adj.考虑周到的体谅的
1038,consideration,n.考虑思考体贴考虑因素敬重意见
1039,consist,vi.由...组成存在一致在于n.组成
1040,consistent,adj.坚持的一贯的始终如一的一致的
1041,consolidate,vt.巩固 vi.合并
1042,conspicuous,"a. 显著的,显眼的,出众的"
1043,constant,adj.经常的永恒的不变的n.常数恒量
1044,constituent,a.形成的 n.选民
1045,constitution,n.章程体质构造组织宪法体格
1046,constrain,"vt. 强迫,勉强,驱使"
1047,construct,vt.建造建设构筑绘制想出n.构想建造物
1048,construction,n.建造建设建筑建筑物结构构造
1049,consult,vt.向...请教查阅商讨
1050,consultant,"n. 顾问,商议者"
1051,consume,vt.消耗消费消灭毁灭吃、喝、挥霍vi.耗尽生命被烧毁
1052,consumer,n.消费者，用户
1053,consumption,n.消耗量消耗消费
1054,contact,vt.使接触与...联系n.接触联系联系人adj.接触的
1055,contain,vt.包含容纳等于克制抑制vi.自制
1056,container,n.容器集装箱
1057,contaminate,"vt. 弄脏,毒害,传染"
1058,contemplate,"vt. 注视,沉思,打算 vi. 冥思苦想"
1059,contemporary,adj.当代的同时代的同时的现代的n.同时代的人
1060,contempt,n.轻蔑；藐视
1061,contend,vi.竞争 vt.坚决主张
1062,content,n.内容目录容量adj.满足的满意的vt.使...满足使...安心
1063,contest,vt.争夺争取辩驳竞赛vi.奋斗n.竞赛比赛
1064,context,n.上下文；来龙去脉
1065,continent,n.大陆陆地洲(the Continent)欧洲大陆
1066,continual,adj.不断的连续的频繁的
1067,continue,vt. &vi.继续连续维持延伸
1068,continuous,adj.连续不断的连续的继续的连绵不断的持续的
1069,contract,k .契约合同书合同婚约v.缩短缩小vt.订约
1070,contradict,vt.反驳，否认
1071,contradiction,n.矛盾不一致否认反驳
1072,contrary,adj.相反的截然不同的n.相反反面adv.相反(地)
1073,contrast,n.对比对照悬殊差别v.对比成对照
1074,contribute,vt.捐献捐助投稿vi.投稿贡献是原因之一
1075,contribution,"n. 捐助,捐助之物,贡献"
1076,contrive,"vt.vi. 发明,设计,图谋"
1077,control,vt.控制克制掌管支配n.克制控制管制操作装置
1078,controversial,"a.争论的,有争议的，被议论的"
1079,controversy,n.争论，辩论，争吵
1080,convenience,n.便利方便便利设施厕所适宜方便的时间舒适
1081,convenient,adj.便利的近便的方便的
1082,convention,n.习俗惯例公约大会协定
1083,conventional,adj.普通的习惯的传统的惯例的常规的
1084,converge,"vi. 聚合,集中于一点"
1085,conversation,n.会话谈话非正式会谈
1086,conversely,adv.相反地
1087,conversion,n.转变转化改变改变信仰换位
1088,convert,vt.使转变使改变倒置n.皈依者改宗者
1089,convey,vt.传送运送传播转移
1090,convict,"n.囚犯,罪犯vt.宣告有罪"
1091,conviction,n.确信，信服，深信
1092,convince,vt.使确信使信服说服使...相信
1093,cook,vt.烹调煮编造虚构烧(菜)vi.烧菜发生做好n.厨师烧菜
1094,cool,"adj.凉的冷静的冷色系的adv.冷静地n.凉快vt. &vi.(使)变凉
(使)冷静"
1095,cooperate,vi.合作协作配合
1096,cooperative,a.合作的 n.合作社
1097,coordinate,"vt.使协调调节整合使一致[计算机]坐标n. 同等的人物(色调图
案样式等)配套服装adj. 同等的等位的(大学)男女分院制的"
1098,cope,vi.对付应付对抗n.长袍斗篷状物vt.笼罩
1099,copper,n.铜铜币铜制器有紫铜色翅膀的小蝴蝶警官vt.镀铜
1100,copy,n.抄件副本模仿一册稿件vt.抄写抄袭复制复印vi.复制抄写n.
1101,cord,n.细绳粗线索束缚vt.用绳索绑
1102,cordial,adj.真诚的诚恳的热忱的兴奋的n.兴奋剂补品
1103,core,n.果实的心核心要点vt.挖去果核
1104,corn,"n.谷物谷粒陈词滥调鸡眼(英)小麦vt.使成颗粒状用盐水腌制用
谷物喂vi.变成颗粒"
1105,corner,".n 角角落转角窘境犄角边远地区偏僻住所[计算机]角点vt.
使...走投无路使...陷入绝境垄断转弯adj.位于角落"
1106,corporate,n. 组织
1107,corporation,n.公司法人集团企业社团
1108,corps,"n. 军团,队,团,兵种"
1109,correct,adj.正确的vt. &vi.改正纠正
1110,correction,n.改正纠正修改改正的地方
1111,correlate,n.互相关联的事物
1112,correspond,vi.相符合相当通信
1113,correspondence,n.通信；符合；对应
1114,correspondent,n.通信者通讯记者通讯员adj.与...一致的相应的
1115,corresponding,adj.相应的符合的一致的相同的相当的
1116,corridor,n.走廊回廊通路
1117,corrode,"vt.vi 腐蚀,侵蚀,破坏"
1118,corrupt,vt.贿赂 a.腐败的
1119,cosmic,a.宇宙的；广大无边的
1120,cost,n.价格代价成本费用vt.花费使付出vi.值付出
1121,costly,adj.昂贵的价值高的代价高的
1122,costume,"n. 装束,服装"
1123,cottage,n.村舍小屋
1124,cotton,n.棉棉花棉线棉布vi.向…讨好明白领悟
1125,couch,n.睡椅，长沙发椅
1126,cough,vt. &vi.咳咳嗽n.咳嗽
1127,could,aux.v.(can的过去式)
1128,council,n.理事会委员会商议
1129,counsel,n.商议；忠告；律师
1130,count,vt.计算视为依赖vi.数计数n.计数
1131,counter,"n.柜台计数器计算者计数器adj.相反的adv.与…相反地vt.反对
反击vi.反对反击"
1132,counterpart,"n.副,复本,配对物,相应物"
1133,country,n.国家国土农村adj.国家(的)农村(的)
1134,countryside,n.乡下农村
1135,county,n.英国的郡美国的县
1136,couple,n.夫妇(一)对几个数个v.加倍成双连结
1137,courage,n.勇气胆量胆识
1138,course,n.课程讲座过程路线一道菜
1139,court,n.法院法庭庭院奉承球场v.献殷勤追求招致危险
1140,courtesy,n.礼貌，谦恭，请安
1141,cousin,n.堂(或表)兄弟(姐妹)
1142,cover,vt.盖覆盖包括涉及包含n.盖子封面表面
1143,cow,n.母牛奶牛母兽
1144,coward,n.懦夫胆怯者adj.胆小的
1145,crack,n.裂缝裂纹声变vi.爆裂破裂声变打开
1146,cradle,n.摇篮，发源地
1147,craft,n.工艺手艺行业航空器
1148,crane,n.起重机摄影升降机鹤v.引颈伸长(脖子)vt.伸长(脖子等)
1149,crash,vi.碰撞坠落猛使...破碎迫降n.碰撞猛撞轰隆声崩溃破产垮台
1150,crawl,vi.爬爬行n.爬行匍匐而行
1151,crazy,adj.疯狂的荒唐的
1152,cream,n.奶油乳酪乳脂奶油色面霜精华
1153,create,vt.创造引起产生
1154,creation,"n. 创造,创作物,发明"
1155,creative,adj.创造性的创作的
1156,creature,n.生物动物家畜人
1157,credit,n.信用贷款信用荣誉学分v.归功于赞颂信任
1158,creep,vi.爬行缓慢地行进蔓延n.爬徐行蠕动
1159,crew,n.全体船员全体乘务员vi.一起工作
1160,cricket,n.板球蟋蟀vi.打板球
1161,crime,n.罪罪行犯罪羞耻
1162,criminal,n.犯人罪犯刑事犯adj.犯罪的刑事的无耻的
1163,cripple,n.跛子残废的人v.使...跛使...成残废削弱
1164,crisis,n.危机存亡之际
1165,crisp,a.脆的；卷曲的
1166,criterion,n.标准，准则，尺度
1167,critic,n.批评家评论家爱挑剔的人
1168,critical,adj.决定性的批评的危险的挑剔的临界的
1169,criticism,n.批评批判评论
1170,criticize,vt.批评评论非难吹毛求疵vi.批评
1171,crop,"n.农作物庄稼收成一熟一群平头vt.割掉修剪剪短收割使谷物生
长vi.啃青草种植谷物"
1172,cross,"vt.穿过划叉剔除画横线于vi.穿越prep.穿过n.十字架十字架形
物件交叉交叉路adj.生气的交叉的"
1173,crow,n.鸦乌鸦啼叫欢叫vi.啼啼叫报晓欢叫vt.洋洋夸口自鸣得意
1174,crowd,n.群大众一伙人一堆vi.拥挤挤满挤进vt.挤满将...塞进催促
1175,crown,"n.王冠冕王权顶点花冠vt.使...成王加冕居...之顶为牙齿镶上
假齿冠vi.火迅速烧到树的顶端"
1176,crucial,"a. 决定性的,重要的,严厉的"
1177,crude,adj.简陋的天然的未加工的粗鲁的n.原油
1178,cruel,adj.残忍的残酷的引起痛苦的
1179,cruise,vi.巡航 vt.巡航于…
1180,crush,"vt.压碎碾碎镇压拥挤的人群迷恋关键时刻果汁榨汁酿酒vt.压破
征服挤入镇压vi.被压碎挤"
1181,crust,n.面包皮硬外皮外壳坚硬的外壳vt.盖以硬皮vi.结硬皮
1182,cry,"vi.哭哭泣叫喊强烈要求vt.大声叫喊宣传哭得...n.叫哭喊口号
叫卖声普遍意见"
1183,crystal,n.水晶结晶体晶粒adj.清澈透明的晶体的
1184,cube,n.立方体立方vt.求...的立方adj.立方的
1185,cubic,adj.立方体的立方的
1186,cucumber,n.黄瓜
1187,cue,"n. 开端,线索,发辫,长队"
1188,culminate,"vi.到绝顶,达于极点,高潮"
1189,cultivate,vt.耕种植培养栽培结交(朋友)促进增长教养
1190,culture,n.文化文明教养种植vt.培养
1191,cumulative,a. 累积的
1192,cunning,adj.狡猾的狡诈的有眼光的精巧的可爱的n.狡诈灵巧
1193,cup,n.杯子(一)杯奖杯v.(使)成杯形vt.使成杯形
1194,cupboard,n.碗柜碗碟橱食橱
1195,curb,"n. 抑制,勒马绳 vt. 抑制,束缚"
1196,cure,vt.医治消除vt. &vi.治疗治愈改正n.治疗治愈治疗法
1197,curiosity,n.好奇好奇心珍品
1198,curious,adj.好奇的奇特的稀奇古怪的
1199,curl,n.卷毛螺旋vi.卷曲弄卷弯曲
1200,currency,n.通货；通用；市价
1201,current,adj.当前的现在的最近的通用的流通的n.(水、气、电)流趋势
1202,curriculum,n. 课程
1203,curse,n.诅咒咒骂天谴祸端行经vt.咒骂诅咒引起灾祸vi.诅咒
1204,curt,"a. 简略的,简短的,生硬的"
1205,curtain,n.帘窗帘幕(布)遮蔽物vt.用窗帘装饰遮蔽
1206,curve,n.曲线弯弯曲曲球vt.弄弯使...弯曲vi.弯曲
1207,cushion,"n.垫子坐垫橡皮软垫缓冲vt.加垫褥放在垫子上保护减缓为...装
垫子"
1208,custom,n.习惯风俗海关
1209,customary,a.通常的；照惯例的
1210,customer,n.顾客主顾家伙
1211,cut,"vt.切割剪减少停止修剪vi.切割快速移动剪掉n.切口割伤降低份
额删节割下的一块肉"
1212,cycle,n自行车循环周期长期圈套曲vt.环行骑自行车vi.使环行
1213,cylinder,n.圆筒；柱(面)；汽缸
1214,cynical,"a. 愤世嫉俗的,讽刺的,冷嘲的"
1215,daily,adj.每日的按天计算的日常的adv.每日天天n.日报(复)工作样片
1216,dairy,n.牛奶场乳制品乳品店adj.牛奶的
1217,dam,n.水坝水堤障碍物vt.筑坝抑制(情感）等
1218,damage,vt.损害毁坏n.(pl.)赔偿损坏毁坏损害
1219,damn,vt.诅咒 n.诅咒；丝毫
1220,damp,adj.潮湿的有湿气的n.毒气湿气丧气vt.呛抑制使潮湿vi.衰减
1221,dance,"vi.跳舞摇晃雀跃vt.使跳跃使某人以跳舞的方式进入n.舞跳舞舞
蹈舞会舞步"
1222,danger,n.危险危险事物
1223,dangerous,adj.危险的不安全的引起危险的
1224,dare,vt. &vi. &aux.v.敢竟敢敢于勇于面对n.敢挑战
1225,daring,adj.大胆的勇敢的n.冒险精神
1226,dark,adj.暗的黑色的n.黑暗暗处
1227,darling,n.亲爱的人可爱的人可爱的物宠儿adj.可爱的亲爱的
1228,dash,"vt.使猛撞猛掷泼溅冲撞匆忙溅vi.猛冲 猛撞n.猛冲冲撞破折号
少量短跑冲劲"
1229,data,n.(datum的复数)数据资料
1230,date,n.日期约会枣椰子vt.约会定...日期vi.追溯到n.
1231,daughter,n.女儿adj.与女儿有关的女性直系后代的
1232,dawn,n.黎明破晓开端vi.破晓逐渐明白
1233,day,n.(一)天白昼白天
1234,daylight,n.白昼日光黎明
1235,dazzle,vt.&vi.炫耀；迷惑
1236,dead,"adj.死的无生命的萧条的精疲力竭的用完的无趣的adv.完全地突
然地直接地n.死者死"
1237,deadly,adj.致命的致死的死一般的adv.非常地如死一般地
1238,deaf,adj.聋的不愿听的
1239,deal,n.买卖待遇交易协定份量vt.(dealtdealt
1240,dear,"adj.严重的珍贵的亲爱的昂贵的衷心的adv.高价地热爱地n.亲爱
的人可爱的人int.啊哎呀"
1241,death,n.死死亡灭亡死神
1242,debate,n. &vi.争论辩论商讨vt.争论思考
1243,debt,n.债债务欠债负债状态义务罪过失
1244,decade,n.十年十年期
1245,decay,vi.腐烂衰败n.腐烂衰退
1246,deceit,n.欺骗欺诈诡计不诚实
1247,deceive,vt.欺骗蒙蔽行骗vi.行骗
1248,December,n.十二月
1249,decent,a.正派的；体面的
1250,decide,vt. &vi.决定决心解决作出抉择
1251,decimal,a.小数的，十进制的
1252,decision,n.决定决心果断决策
1253,decisive,a.决定性的；果断的
1254,deck,n.甲板舱面层面桥面楼层vt.装饰
1255,declaration,n.宣布，宣言；申诉
1256,declare,vt. &vi.断言声明表明宣布申报
1257,decline,vt.下倾；偏斜；衰退
1258,decorate,vt.装饰装璜修饰授予某人奖章或其他奖状
1259,decrease,vi. &n.减少减少
1260,dedicate,vt.奉献；献身
1261,deduce,vt.演绎推论推断溯源
1262,deed,n.行为事迹功绩(尤指房产)契约证书vt.通过行为转化
1263,deem,vt.认为，相信 vi.想
1264,deep,adj.深的有...深的深奥的纵深的adv.深深地晚地n.深处
1265,deepen,vt.加深使...加深使...强烈vi.深化加深变浓
1266,deer,n.鹿
1267,defeat,vt.战胜击败挫败n.败北失败
1268,defect,n.缺点缺陷欠缺vi.背叛
1269,defence,n.防御防务辩护答辩
1270,defend,vt. &vi.防护辩护防卫保卫防守
1271,deficiency,n.缺乏；不足之数
1272,deficit,"n. 赤字,不足额"
1273,define,vt.给...下定义限定解释
1274,definite,adj.明确的肯定的一定的
1275,definitely,adv.一定地明确地确切地
1276,definition,n.定义释义定界阐释清晰度
1277,defy,vt.向…挑战；蔑视
1278,degenerate,"a.堕落的 vi.vt.(使)变质,(使)退化"
1279,degrade,vt.使降给；使堕落
1280,degree,n.程度度度数学位
1281,delay,vt.推迟耽搁延误vi.耽搁n.耽搁迟滞
1282,delegate,n.代表，委员，特派员
1283,delegation,n.代表团委派
1284,delete,vt.删除擦掉
1285,deliberate,a.深思熟虑的；审慎的
1286,delicate,"adj.纤细的易碎的精美的微妙的美味的脆弱的敏锐的n.精美的东
西"
1287,delicious,adj.美味的可口的怡人的
1288,delight,n.快乐快乐vt.使高兴vi.给与乐趣
1289,deliver,vt.投递递送送交发表表达释放交付接生履行vi.达成
1290,delivery,n.投递交付分娩
1291,delta,n. 希腊字母表的第4个字母; 三角洲;
1292,demand,vt.要求需要询问n.要求需求
1293,democracy,n.民主民主制民主国家
1294,democratic,adj.民主的民主政体的大众的平等的
1295,demonstrate,vt.说明论证证明表露示范演示vi.示威
1296,denial,n.否定；拒绝相信
1297,denote,vt.指示，意味着
1298,denounce,vt.谴责，声讨；告发
1299,dense,adj.密集的浓厚的愚钝的不易看透的
1300,density,n.密集稠密密度透明度
1301,dentist,n.牙科医生
1302,deny,vt.否定拒绝相信拒绝反对克制
1303,depart,vi.离开起程出发死亡脱轨vt.离开
1304,department,n.部司局处系部门省
1305,departure,n.离开出发起程分歧
1306,depend,vi.依靠依赖相信指望
1307,dependent,adj.依靠的依赖的附属的悬垂的n.受经济援助者
1308,depict,"vt. 描述,描写"
1309,deposit,vt.使沉淀存放堆积vi.沉淀n.存款定金堆积物
1310,depress,vt.使沮丧按下降低
1311,depression,n.消沉；不景气萧条期
1312,deprive,vt.夺去；使(人)失去
1313,depth,n.深度深厚深处强度诚挚
1314,depute,"vt. 指定代理人,委任"
1315,derive,vt.取得得自起源引申于vi.起源
1316,descend,vt. &vi.降传降临下来下降下倾
1317,descendant,n.子孙，后裔；弟子
1318,descent,n.下降；出身；斜坡
1319,describe,vt.形容描写描绘描述画(尤指几何图形)
1320,description,n.描写描述说明书作图形容种类
1321,desert,"n.沙漠荒地应得(的惩罚或奖励)vt.离弃擅离遗弃vi.擅离职守
adj.沙漠的荒凉的"
1322,deserve,vt.应受值得vi.应该得到
1323,design,vt.设计想像计划vi.计划设计n.设计 图样
1324,designate,vt.指出，指示；指定
1325,desirable,"adj.值得相望的可取的值得有的令人满意的有吸引力的n.有吸引
力的人"
1326,desire,vt.要求向往请求渴望n.愿望欲望情欲
1327,desk,n.书桌办公桌
1328,despair,n.绝望失望vi.绝望失望
1329,despatch,vt.vi.n. 派遣
1330,desperate,adj.拼死的绝望的不顾一切的极想得到的
1331,despise,vt.鄙视，蔑视
1332,despite,prep.不管尽管不顾v.憎恨轻视
1333,destination,n.目的地终点目标景点
1334,destined,"a. (由神、命运) 预定的,注定的"
1335,destiny,"n. 命运,定数"
1336,destroy,vt. &vi.破坏消灭打破
1337,destruction,n.破坏毁灭消灭破坏者
1338,destructive,a.破坏(性)的，危害的
1339,detach,vt.分开；派遣(军队)
1340,detail,"n.细节详情部分分派枝节零件vt.详述选派用小元素装饰vi.画细
节"
1341,detect,vt.察觉发觉侦察发现探测信息vi.当侦探
1342,detection,n.察觉发觉侦察探测
1343,detective,n.侦探，密探
1344,deteriorate,vt.vi. (使)恶化
1345,determination,n.决心(正式)决定确定规定测定定位
1346,determine,vt.决定查明决心
1347,develop,vt.发展形成开发冲洗照片vi.进步
1348,development,n.发展开发生长显影开发区
1349,deviate,vt.(使)背离，偏离
1350,device,n.器械装置设备设计策略
1351,devil,n.魔鬼恶魔坏人难对付的东西困难小尘暴vt.加料惹恼
1352,devise,vt.设计发明遗赠n.遗赠(的财产)
1353,devote,vt.将...奉献致力于投入于献身
1354,dew,n.露露水
1355,diagnose,vt.诊断(疾病)
1356,diagram,n.图解图表简图vt.用图解法表示
1357,dial,"n.钟面拨号盘刻度盘针面转盘vt.拨用仪表测量操作仪表vi.拨号
用仪表测量"
1358,dialect,n.方言土语地方话
1359,dialog,n.对话对白(美)=dialogue
1360,diameter,n.直径
1361,diamond,"n.金钢石钻石菱形像钻石的物质纸牌的方块棒球内场vt.用钻石
装饰adj.60或75周年纪念的"
1362,diary,n.日记日记簿
1363,dictate,vt. &vi.口授命令听写n.命令指挥指令
1364,dictation,n.口授笔录听写
1365,dictionary,n.词典字典辞典
1366,die,vi.死死亡灭亡n.金属模子印模骰子
1367,diet,n.饮食，食物
1368,differ,vi.不同(意见)相异不一致
1369,difference,n.差别差分歧vt.引起区别
1370,different,adj.差异的各种的不同的与众不同的
1371,differentiate,"vt.vi. 区别,区分"
1372,difficult,adj.困难的难对付的(人)难取悦的难相处的
1373,difficulty,n.困难争议反对麻烦难事困境
1374,diffuse,"vt.vi. 散播,传播 a. 散开的,弥漫的"
1375,dig,vt.掘挖翻土采掘
1376,digest,vt.消化领会理解vi.消化n.文摘摘要
1377,digital,adj.数字的计数的手指的数码的电子的
1378,dignity,a.尊贵；(举止)庄严
1379,dilemma,"n. 困境,进退两难的局面"
1380,diligent,adj.勤勉的勤奋的用功的
1381,dilute,"vt. 冲淡,稀释 a. 淡的,稀释的"
1382,dim,"adj.昏暗的暗淡的朦胧的模糊的笨的vt.使暗淡使失去光泽vi.变
暗n.车头灯的短焦距光"
1383,dimension,n.尺寸尺度面积次元容积维度范围方面vt.标尺寸形成...尺寸
1384,diminish,vt.减少，减小，递减
1385,dine,vi.吃饭 vt.宴请
1386,dinner,n.正餐主餐宴会晚宴
1387,dip,"vt.浸蘸给...洗药浴vi.浸一浸下降向下倾斜翻阅提取(款项)n.
游下降减少低洼处调味酱药浴液"
1388,diploma,n.毕业文凭，学位证书
1389,diplomatic,a.外交的；有策略的
1390,direct,adj.直接的直率的笔直的坦白的vt.指挥命令负责vi.指导指出
1391,direction,n.方向方位指导用法说明趋势
1392,directly,adv.直接地立即完全
1393,director,n.指导者理事董事经理主管导演
1394,directory,n.姓名地址录；董事会
1395,dirt,n.尘土污物污垢泥土污秽的言行卑鄙的人堕落矿渣
1396,dirty,"adj.脏的下流的肮脏的色情的卑鄙的adv.卑鄙地vt.使...变脏
vi.弄脏"
1397,disable,vt.使无能，使伤残
1398,disadvantage,n.不利不利地位不利条件损害损失
1399,disagree,vi.有分歧不一致不适应不适宜
1400,disappear,vi.不见失踪消失灭绝vt.引起消失
1401,disappoint,vt. &vi.使失望使受挫折
1402,disaster,n.灾难灾祸天灾
1403,disastrous,a.灾难性的；悲惨的
1404,discard,vt.丢弃抛弃遗弃vi.丢牌n.丢牌废牌
1405,discern,vt.看出，辨出；辨别
1406,discharge,"vt. vi.释放排出放出解雇解除放电清偿债务n.释放卸货放电一
股一阵开火发射准许离开"
1407,discipline,n.纪律训练惩罚学科vt.训练 惩罚
1408,disclose,vt.揭开，揭发；透露
1409,discount,n.折扣；打折扣卖
1410,discourage,vt.使泄气使灰心阻碍
1411,discover,vt. &vi.发现暴露显示
1412,discovery,n.发现被发现的事物
1413,discrepancy,"n. 相差,差异,差别"
1414,discrete,"a. 不连续的, 离散的"
